temperature,rainfall,ph,humidity,area,crop
19.85,65.16,7.59,59.42,128.22,maize
31.23,56.55,6.87,71.52,110.49,blackgram
28.28,30.0,6.88,88.94,103.63,muskmelon
27.21,182.44,6.91,83.98,148.33,rice
22.2,100.7,5.71,62.05,41.63,kidneybeans
29.1,249.97,6.81,90.08,94.13,rice
21.2,87.69,5.97,59.53,64.05,kidneybeans
29.68,115.74,5.88,72.32,42.86,cotton
29.9,49.69,7.45,80.04,22.98,blackgram
20.7,55.87,6.3,90.46,146.33,maize
25.23,230.07,6.58,87.03,113.49,rice
34.3,55.23,6.48,80.17,16.86,watermelon
21.55,85.8,6.13,58.58,27.04,kidneybeans
29.52,151.94,6.22,46.63,79.15,mango
29.48,43.51,6.57,89.26,77.67,watermelon
22.32,34.3,7.13,41.6,131.25,chickpea
25.0,151.37,6.39,38.89,79.91,cotton
33.07,109.33,6.64,70.77,129.9,mango
29.92,65.41,6.26,59.49,21.7,mango
32.79,127.67,6.32,59.45,79.32,mango
15.98,41.59,6.38,52.18,50.97,lentil
17.34,52.3,6.28,40.29,57.17,chickpea
22.87,95.52,6.61,63.84,10.16,maize
25.21,180.0,7.06,76.26,116.43,rice
22.32,70.66,7.31,54.88,62.31,maize
27.27,29.48,7.36,87.07,60.65,muskmelon
16.65,19.94,6.28,56.89,117.5,lentil
26.76,122.14,5.69,56.9,71.05,cotton
29.78,162.93,6.77,89.36,140.73,rice
34.47,100.79,6.87,59.82,28.22,mango
26.52,52.85,6.34,83.63,31.83,watermelon
20.03,40.02,7.06,57.91,143.37,maize
23.2,46.05,6.17,88.06,33.42,watermelon
24.89,99.39,6.66,64.72,88.52,maize
30.55,60.4,6.48,88.89,106.75,watermelon
29.19,36.64,6.69,89.74,38.7,muskmelon
30.9,56.84,6.54,89.83,4.43,watermelon
31.53,27.64,6.55,92.29,120.07,muskmelon
29.87,48.95,8.16,63.33,134.0,blackgram
24.98,36.19,7.11,88.45,137.39,muskmelon
21.18,51.34,6.55,36.77,144.56,chickpea
23.76,171.87,6.51,76.95,64.76,rice
37.5,109.08,6.5,48.53,112.88,mango
29.24,50.27,6.59,86.11,7.3,watermelon
21.06,20.75,6.74,55.52,145.1,lentil
29.3,46.78,6.67,91.88,73.89,watermelon
25.79,87.15,6.21,70.34,141.7,cotton
31.26,145.58,6.49,50.46,30.42,cotton
15.25,37.03,6.24,51.9,145.33,lentil
28.67,63.26,6.15,95.57,92.73,watermelon
21.48,196.24,6.27,82.32,34.81,rice
33.25,103.43,5.33,62.42,82.25,mango
35.99,63.67,7.19,64.75,87.21,blackgram
24.22,227.24,6.77,83.21,57.38,rice
32.61,120.75,6.31,65.3,134.88,mango
18.67,39.91,6.28,56.09,83.1,lentil
23.78,30.56,6.25,54.61,20.62,cotton
21.36,90.48,7.16,59.33,56.02,maize
18.94,43.84,6.21,57.05,116.32,lentil
20.22,205.83,5.97,77.07,98.52,rice
18.81,45.62,6.94,40.44,140.51,chickpea
25.71,224.38,6.37,74.87,123.73,rice
21.42,89.97,6.11,54.76,88.47,kidneybeans
23.76,110.23,6.52,45.88,67.0,cotton
31.86,33.92,7.01,64.76,10.07,blackgram
25.66,102.01,6.04,81.87,119.38,mango
31.52,37.88,6.45,70.08,9.26,blackgram
9.07,33.71,6.03,50.41,123.83,lentil
31.92,42.82,6.35,63.44,47.65,blackgram
27.5,76.81,6.41,57.19,15.47,maize
30.81,96.63,6.32,45.92,120.61,mango
22.5,27.58,6.63,57.18,50.85,lentil
19.55,34.72,6.39,53.26,47.18,lentil
27.9,229.93,6.7,71.06,3.04,rice
21.9,78.87,6.13,58.13,11.74,maize
27.24,33.93,6.55,90.83,41.87,muskmelon
21.02,87.04,5.96,48.89,59.89,kidneybeans
24.84,218.34,6.77,77.42,29.95,rice
34.62,33.72,6.64,93.08,145.44,muskmelon
22.74,68.87,7.63,39.0,146.87,chickpea
29.16,52.25,6.08,62.09,112.33,mango
28.71,71.83,6.91,57.75,32.03,blackgram
21.82,82.7,6.64,75.67,35.39,cotton
30.33,90.37,6.98,73.51,66.18,maize
31.76,11.42,7.32,68.49,147.55,blackgram
33.51,85.74,6.82,45.16,21.13,cotton
31.82,22.55,7.08,89.41,71.55,muskmelon
14.96,62.7,7.3,42.18,72.8,chickpea
32.62,102.41,6.65,79.2,139.82,mango
26.4,201.02,6.29,83.47,113.74,rice
25.15,72.43,6.96,67.72,122.62,maize
25.75,64.92,6.59,71.21,18.86,blackgram
27.14,229.16,6.98,87.85,118.48,rice
32.31,59.13,6.58,66.6,78.03,blackgram
16.75,29.24,6.19,55.89,91.02,lentil
25.65,93.25,6.83,61.99,26.62,maize
29.93,56.02,6.63,91.22,134.18,watermelon
28.21,63.59,6.02,54.04,122.49,mango
22.33,55.71,6.97,64.55,33.48,maize
25.46,187.54,6.25,87.31,90.81,rice
29.0,218.46,6.91,85.62,127.07,rice
10.65,31.49,6.01,48.39,37.83,lentil
39.41,109.52,6.11,62.66,11.23,mango
19.63,66.06,7.56,34.15,50.3,chickpea
25.1,101.94,5.98,56.82,100.86,kidneybeans
17.65,67.45,6.79,58.87,4.11,maize
31.85,53.41,6.61,93.75,20.77,watermelon
29.03,56.36,6.34,93.59,46.29,watermelon
29.16,201.74,6.62,82.72,35.33,rice
23.68,58.99,6.52,71.86,114.66,maize
17.21,64.2,6.45,39.32,83.25,chickpea
21.42,124.18,5.93,58.25,116.13,kidneybeans
33.49,64.52,7.01,67.9,60.6,blackgram
27.29,55.96,7.5,69.29,67.99,blackgram
32.57,25.35,7.19,68.44,72.37,blackgram
22.33,55.71,6.97,64.55,33.48,maize
25.4,58.29,6.12,88.83,146.27,watermelon
25.77,82.78,6.28,56.17,148.67,mango
23.2,67.54,5.37,56.37,45.28,cotton
30.32,109.63,5.36,40.08,137.09,cotton
30.35,55.13,6.48,92.18,92.22,watermelon
27.39,71.02,5.54,54.94,4.76,kidneybeans
26.78,56.69,5.53,49.46,91.72,cotton
17.24,56.06,7.27,41.49,85.88,chickpea
21.83,53.43,7.58,43.0,102.41,chickpea
24.79,52.46,5.83,89.14,111.26,watermelon
32.28,31.57,6.51,91.62,64.72,muskmelon
29.59,154.41,6.28,83.7,130.17,rice
21.26,99.85,7.52,74.83,70.09,maize
20.58,43.27,6.33,36.11,34.88,chickpea
18.81,34.75,6.07,46.77,50.67,lentil
26.85,26.06,6.45,90.89,116.8,muskmelon
30.35,87.02,6.22,39.56,37.16,cotton
30.74,206.05,6.11,79.03,26.26,rice
27.51,55.23,5.76,61.39,93.06,cotton
33.44,26.38,6.39,91.62,104.78,muskmelon
24.14,50.69,6.16,90.24,120.23,watermelon
34.1,94.17,5.55,63.52,17.21,mango
24.28,60.62,6.25,87.47,2.25,watermelon
26.04,103.8,5.68,54.82,14.86,cotton
21.24,37.83,6.25,39.22,13.9,chickpea
31.74,82.51,6.52,71.56,51.09,blackgram
22.14,115.8,5.8,60.7,80.48,kidneybeans
15.44,48.51,7.07,39.97,117.33,chickpea
27.71,79.94,6.7,59.79,85.49,blackgram
27.68,92.35,7.12,55.84,104.15,maize
21.96,90.52,6.25,62.41,86.81,kidneybeans
19.87,44.15,6.26,72.68,59.19,lentil
15.18,50.86,5.69,34.47,110.72,chickpea
25.78,180.85,6.52,83.82,137.89,rice
28.64,169.53,6.78,76.1,66.07,rice
22.33,55.71,6.97,64.55,33.48,maize
22.18,92.43,5.64,52.69,109.84,kidneybeans
26.7,55.41,5.89,60.84,52.68,maize
31.66,85.39,6.24,56.13,29.22,cotton
27.66,83.93,4.91,53.71,104.0,cotton
16.27,34.67,6.5,58.34,117.84,lentil
30.25,77.97,6.67,57.36,40.44,maize
23.34,199.41,6.88,86.92,111.45,rice
17.62,42.41,6.35,62.65,112.87,lentil
26.67,53.45,6.24,85.92,60.92,watermelon
28.7,247.37,6.16,77.48,125.53,rice
30.99,31.37,6.67,87.77,29.93,muskmelon
24.95,88.88,6.89,61.76,74.96,maize
14.74,27.6,6.29,65.95,139.42,lentil
23.42,86.79,5.71,56.13,97.54,kidneybeans
31.44,56.64,6.26,93.88,49.38,watermelon
27.94,104.67,6.49,52.07,63.35,mango
22.12,113.74,5.87,65.65,94.38,kidneybeans
24.68,197.04,6.23,76.75,33.84,rice
30.26,28.77,6.52,92.51,27.35,muskmelon
31.99,57.91,6.4,88.41,130.29,watermelon
25.7,239.79,6.82,83.19,132.25,rice
32.82,33.33,6.54,90.98,147.67,muskmelon
16.82,33.29,7.27,37.28,66.52,chickpea
23.5,58.85,6.62,83.98,102.72,watermelon
28.33,94.82,5.69,67.62,41.56,mango
35.57,98.91,6.17,72.29,70.36,mango
33.87,58.91,7.06,73.15,61.93,blackgram
27.85,63.02,6.19,88.75,105.34,watermelon
19.32,82.41,6.0,63.1,55.12,kidneybeans
27.93,36.22,6.95,89.85,67.85,muskmelon
15.67,30.86,5.89,54.66,45.8,lentil
24.49,72.89,6.97,64.86,45.66,maize
38.81,56.25,6.08,61.17,105.18,mango
23.19,30.11,6.22,88.23,51.19,muskmelon
16.82,46.34,5.82,33.84,55.77,chickpea
30.22,54.02,6.45,90.09,7.63,watermelon
27.56,57.4,6.36,88.68,143.49,watermelon
29.58,74.21,6.37,59.8,148.23,maize
24.64,176.34,6.67,78.44,102.55,rice
27.1,62.78,6.79,67.29,124.89,maize
26.75,91.86,5.87,59.12,67.63,kidneybeans
23.04,74.57,6.16,48.92,32.75,maize
25.32,100.22,5.5,66.43,105.06,kidneybeans
23.8,77.06,7.02,50.96,122.39,maize
33.1,94.46,5.86,70.74,95.51,mango
20.13,28.97,6.28,38.47,2.31,chickpea
27.64,36.9,6.34,33.15,42.3,chickpea
24.37,85.42,5.58,72.38,95.62,cotton
36.71,98.45,6.1,51.12,129.14,mango
32.41,52.73,6.86,66.58,70.38,blackgram
23.7,56.79,6.97,46.24,39.37,chickpea
33.88,59.34,7.36,61.25,134.43,blackgram
32.28,57.23,6.35,90.3,55.06,watermelon
27.9,39.14,7.31,70.18,38.57,blackgram
21.96,53.53,7.61,35.74,41.32,chickpea
17.4,37.76,6.4,54.88,14.92,lentil
29.92,25.83,6.49,88.73,99.08,muskmelon
8.28,50.36,6.0,58.99,25.43,lentil
21.24,29.18,6.51,53.88,79.2,lentil
28.57,190.72,6.37,75.36,128.54,rice
19.59,36.24,7.73,37.47,70.31,chickpea
25.08,56.13,6.54,84.59,17.28,watermelon
33.21,100.46,6.48,62.68,43.07,cotton
19.84,31.35,6.32,63.37,110.87,lentil
18.0,39.75,7.4,32.06,37.61,chickpea
30.88,58.16,6.53,85.51,112.1,watermelon
23.47,51.43,7.26,42.1,123.46,chickpea
31.51,63.07,6.57,59.01,109.14,maize
19.32,82.41,6.0,63.1,55.12,kidneybeans
26.89,50.32,6.4,89.88,99.56,watermelon
19.5,88.98,5.89,66.0,35.06,kidneybeans
23.86,113.57,5.8,58.93,66.91,kidneybeans
31.26,61.78,5.92,60.35,109.31,cotton
29.74,94.11,6.12,38.75,148.43,cotton
25.15,53.37,7.66,61.93,41.89,maize
21.52,79.25,6.02,46.31,12.86,cotton
26.24,199.26,6.58,74.12,53.41,rice
18.69,62.29,7.07,35.29,73.38,chickpea
30.82,36.34,6.53,73.36,2.7,blackgram
26.69,227.73,6.27,81.33,33.96,rice
25.58,63.72,6.49,67.53,71.08,maize
22.5,27.58,6.63,57.18,50.85,lentil
34.61,72.8,7.25,66.04,120.99,blackgram
27.94,181.41,5.98,90.22,62.55,rice
20.9,37.12,6.46,60.28,73.14,lentil
19.12,51.98,7.06,38.57,62.1,chickpea
26.47,182.65,7.08,80.43,12.73,rice
31.26,27.94,6.36,89.75,12.24,muskmelon
18.44,44.89,6.19,36.1,128.95,chickpea
33.23,134.79,6.53,55.22,48.94,mango
19.92,31.1,6.11,58.07,22.83,lentil
34.29,86.93,6.85,64.33,118.42,mango
30.44,34.85,6.88,93.2,37.31,muskmelon
30.16,129.67,6.23,57.2,5.24,mango
24.74,229.26,6.56,84.52,21.54,rice
15.13,37.94,6.24,57.83,69.87,lentil
29.69,160.77,6.52,73.34,55.32,rice
14.09,36.07,6.85,51.01,100.28,lentil
27.69,242.66,6.51,77.62,50.47,rice
29.67,103.59,8.07,65.45,127.83,blackgram
29.54,23.69,6.47,90.59,142.11,muskmelon
20.94,39.5,6.06,50.87,81.99,lentil
20.33,216.43,6.65,77.28,140.02,rice
24.5,38.86,7.21,87.65,9.69,muskmelon
22.02,108.67,6.43,56.9,64.5,kidneybeans
28.34,98.92,6.08,56.33,91.13,mango
30.38,37.61,6.79,70.13,97.12,blackgram
27.07,89.52,6.34,62.97,138.17,cotton
25.65,93.25,6.83,61.99,26.62,maize
27.78,65.86,4.75,46.47,137.01,cotton
18.16,56.99,7.18,72.84,108.13,maize
22.57,96.91,6.19,58.56,101.11,cotton
37.54,128.74,5.97,64.32,125.14,mango
31.24,27.93,6.98,88.33,18.6,muskmelon
24.61,51.25,6.4,48.83,119.75,mango
24.29,104.39,6.21,61.94,55.47,kidneybeans
27.07,33.07,7.04,90.93,27.93,muskmelon
23.63,60.91,5.72,56.2,99.12,kidneybeans
22.04,174.79,6.29,79.34,125.68,rice
13.66,16.63,6.32,50.07,30.02,lentil
17.72,47.75,6.34,69.05,79.78,lentil
22.54,103.8,6.21,64.07,31.08,kidneybeans
25.4,232.45,6.46,81.6,135.3,rice
25.67,57.99,6.35,82.98,92.54,watermelon
21.59,102.51,6.32,61.06,145.0,kidneybeans
29.22,82.89,6.47,61.05,50.43,blackgram
37.5,109.08,6.5,48.53,112.88,mango
32.48,47.74,5.92,90.03,54.01,watermelon
25.89,41.51,6.84,90.29,117.39,muskmelon
28.23,37.48,6.56,85.72,95.13,muskmelon
19.73,48.13,6.79,45.95,118.74,chickpea
31.24,27.93,6.98,88.33,18.6,muskmelon
24.99,67.36,6.68,63.72,9.03,maize
20.83,63.11,6.14,65.29,141.6,maize
26.34,33.75,6.62,89.45,78.64,muskmelon
22.12,113.74,5.87,65.65,94.38,kidneybeans
26.65,106.83,6.19,48.42,146.6,cotton
15.98,41.59,6.38,52.18,50.97,lentil
19.26,60.37,6.9,34.24,89.88,chickpea
16.0,20.7,6.67,53.19,86.43,lentil
26.65,59.01,6.18,87.72,120.76,watermelon
24.79,49.58,6.57,85.93,111.16,watermelon
23.47,103.0,6.63,60.7,90.01,kidneybeans
22.17,43.36,6.2,55.61,71.67,lentil
18.75,26.29,6.2,53.69,20.79,lentil
37.57,84.43,5.94,57.4,83.46,mango
18.81,16.25,6.08,45.77,122.14,lentil
28.54,54.64,7.11,74.25,14.94,blackgram
28.7,94.9,6.11,71.62,143.78,cotton
33.78,43.02,7.74,72.05,147.48,blackgram
22.3,186.49,6.49,77.7,143.64,rice
25.75,93.65,6.5,62.76,25.74,maize
22.65,25.87,6.41,59.08,43.2,lentil
30.7,26.24,6.88,91.82,90.08,muskmelon
21.32,87.89,5.88,45.24,24.51,cotton
26.39,167.03,6.6,78.96,55.19,rice
14.2,44.87,7.66,43.49,98.4,chickpea
20.29,106.12,5.92,63.52,24.66,kidneybeans
26.59,52.98,7.01,65.78,52.48,blackgram
33.5,14.6,6.76,63.16,69.78,blackgram
33.0,86.13,5.72,55.41,58.49,cotton
32.09,23.77,6.3,88.4,122.26,muskmelon
27.68,170.5,7.01,82.45,104.43,rice
26.69,227.73,6.27,81.33,33.96,rice
22.54,113.71,5.84,63.47,47.21,kidneybeans
30.64,95.76,5.63,45.85,9.65,cotton
24.11,38.15,6.38,51.46,83.73,lentil
32.59,63.8,6.72,66.06,8.14,blackgram
24.44,47.77,7.11,42.03,52.42,chickpea
22.63,47.96,7.36,45.75,2.94,chickpea
27.4,71.63,7.18,55.59,93.41,maize
29.99,55.86,6.06,41.86,136.47,cotton
19.63,71.76,6.08,65.92,108.78,kidneybeans
19.99,98.1,5.59,63.32,83.85,kidneybeans
30.39,97.44,6.04,62.75,109.69,cotton
26.56,83.24,5.79,59.68,123.49,kidneybeans
33.13,69.29,6.81,72.38,145.76,blackgram
19.93,27.89,6.33,57.24,143.71,lentil
29.01,23.76,7.04,91.64,29.51,muskmelon
18.07,55.26,7.61,32.79,55.41,chickpea
27.35,191.73,6.7,80.55,114.16,rice
26.76,122.14,5.69,56.9,71.05,cotton
31.83,42.66,6.82,91.6,26.88,muskmelon
31.85,53.41,6.61,93.75,20.77,watermelon
22.87,118.09,5.75,60.5,86.6,kidneybeans
31.99,57.91,6.4,88.41,130.29,watermelon
25.76,50.82,6.46,91.21,47.45,watermelon
16.03,42.68,6.16,53.58,90.12,lentil
28.89,226.83,6.84,79.23,86.65,rice
32.55,38.45,6.89,90.54,108.55,muskmelon
36.21,79.71,6.72,55.26,92.94,mango
26.47,182.65,7.08,80.43,12.73,rice
26.88,56.73,6.56,50.22,91.2,cotton
27.19,83.83,6.95,73.58,6.23,maize
26.44,51.16,6.29,88.86,49.51,watermelon
22.05,61.13,5.5,50.12,103.23,cotton
19.8,106.95,5.91,60.27,100.33,kidneybeans
17.54,36.66,6.16,54.52,108.97,lentil
24.35,208.74,6.62,84.13,83.09,rice
38.96,90.0,6.27,57.82,73.03,mango
25.47,60.6,6.37,86.6,39.08,watermelon
30.51,90.26,6.23,71.85,118.47,mango
27.36,55.47,6.46,58.49,5.25,maize
23.07,70.04,6.29,71.83,46.21,maize
28.44,113.53,5.83,59.69,79.32,cotton
32.16,43.99,7.6,60.99,63.21,blackgram
22.6,82.39,5.97,62.41,40.19,kidneybeans
24.78,207.98,6.85,71.63,115.63,rice
32.21,64.65,7.09,77.56,127.49,blackgram
22.52,38.75,5.99,59.04,81.68,lentil
23.06,69.18,7.4,72.24,31.62,maize
24.21,206.95,6.33,75.69,27.58,rice
26.51,186.87,6.83,78.48,90.6,rice
31.03,232.34,6.25,81.92,76.17,rice
20.5,76.5,6.77,63.99,39.62,maize
21.68,99.51,5.96,57.65,93.87,kidneybeans
23.25,46.16,6.77,43.88,49.58,chickpea
31.46,88.29,6.99,63.51,99.37,maize
27.27,68.55,6.41,36.87,63.33,mango
22.78,92.99,6.45,55.31,119.89,kidneybeans
35.32,83.84,6.29,66.72,8.55,mango
34.76,71.81,7.32,58.48,35.06,blackgram
30.23,54.18,6.37,89.62,147.51,watermelon
27.78,57.46,7.14,60.47,53.75,maize
16.44,42.59,6.84,45.67,135.91,chickpea
32.41,195.09,6.5,71.99,141.73,rice
26.84,195.87,6.09,78.07,88.0,rice
28.25,83.8,6.89,65.65,46.91,blackgram
21.13,84.58,6.76,66.65,37.16,maize
32.58,84.2,6.2,63.09,120.52,mango
21.86,85.73,5.93,57.09,15.05,kidneybeans
22.28,45.89,6.19,61.49,89.69,lentil
30.23,92.93,6.24,68.04,143.75,cotton
23.47,47.06,6.46,85.46,42.33,watermelon
26.34,101.85,6.12,54.59,19.34,cotton
21.17,37.3,6.52,49.22,119.66,lentil
31.3,205.47,6.97,81.83,20.39,rice
37.71,67.36,7.25,66.19,30.53,blackgram
33.4,26.54,7.62,88.86,64.79,muskmelon
26.56,38.29,5.45,70.03,42.46,cotton
18.72,32.76,6.16,55.3,82.21,lentil
22.84,106.38,5.88,57.44,25.29,cotton
22.61,70.82,7.2,42.21,18.27,chickpea
23.44,136.83,6.21,71.31,104.48,kidneybeans
27.09,62.04,6.01,64.65,82.48,maize
34.14,115.93,6.04,66.28,29.37,mango
32.36,83.44,5.8,58.91,92.19,mango
23.78,40.9,7.31,69.7,135.49,blackgram
26.94,85.47,6.75,76.03,93.96,blackgram
27.8,82.43,5.96,62.98,27.29,cotton
26.15,94.84,6.53,78.12,46.79,mango
15.43,36.0,6.29,49.12,103.07,lentil
17.89,52.7,6.42,39.25,82.44,chickpea
22.16,28.13,6.33,53.54,146.03,lentil
24.63,86.61,6.44,44.5,146.07,cotton
21.11,187.26,6.23,79.18,145.52,rice
19.14,44.33,7.13,37.78,53.88,chickpea
24.94,49.43,6.09,89.41,6.87,watermelon
32.44,26.26,6.7,90.29,140.37,muskmelon
18.72,51.02,7.05,52.51,3.46,chickpea
19.32,36.69,6.53,42.15,113.46,chickpea
26.53,55.93,6.7,90.84,133.36,watermelon
22.01,60.76,6.44,91.18,58.96,watermelon
27.27,53.22,6.35,87.2,37.34,watermelon
23.9,88.15,5.88,68.9,24.89,cotton
23.89,34.56,6.51,30.03,93.8,chickpea
29.28,96.85,5.43,60.01,96.6,mango
24.66,55.13,6.41,90.23,106.92,watermelon
28.41,111.45,5.69,56.41,11.43,cotton
16.24,41.81,6.54,53.5,103.79,lentil
14.52,21.99,6.24,58.61,111.42,lentil
30.96,28.91,6.88,91.69,99.94,muskmelon
20.81,58.02,7.41,41.23,50.56,chickpea
